"","hour","starts","ends","high"
"1",1,28,80,2212
"2",2,7,68,2212
"3",3,6,48,2212
"4",4,6,41,2212
"5",5,26,36,2212
"6",6,214,100,2212
"7",7,470,689,2212
"8",8,979,2212,2212
"9",9,885,1138,2212
"10",10,549,507,2212
"11",11,605,350,2212
"12",12,572,474,2212
"13",13,434,493,2212
"14",14,475,511,2212
"15",15,580,524,2212
"16",16,1132,678,2212
"17",17,1904,1033,2212
"18",18,1088,871,2212
"19",19,578,529,2212
"20",20,352,341,2212
"21",21,206,284,2212
"22",22,148,220,2212
"23",23,148,198,2212
"24",24,0,0,2212
